analysis_id,4548e654i259lz4
gene_accession_id,MGI:95457
gene_symbol,Mecom
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.291148
mouse_strain,C3H
