parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
gene_symbol,Dcaf12
pvalue,0.9015871
mouse_strain,C57BL
gene_accession_id,MGI:1916220
analysis_id,bzi6h35v450i555
