analysis_id,lp952ce551t5bya
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Bcs1l
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.3129434
