analysis_id,s132n7i73u8o86f
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_name,Femur
pvalue,0.1401843
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
gene_symbol,Bcs1l
