analysis_id,cn8636f429o7d53
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.4035735
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
