parameter_id,HRWLLA_OFD_013_001
analysis_id,319v35h2rf26065
mouse_strain,C57BL
pvalue,0.2090268
gene_symbol,AU040320
parameter_name,Periphery average speed
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
