parameter_name,B cell percentage
pvalue,0.09295012
gene_accession_id,MGI:1917604
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,87zy3u845pxi594
gene_symbol,SECISBP2L
