gene_symbol,Dcaf12
analysis_id,2y1ry1t2n3qb8ge
mouse_life_stage,Early adult
parameter_name,Fat mass
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,IMPC_DXA_002_001
pvalue,0.625291
