parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
analysis_id,io50k96vegz9y22
mouse_strain,C57BL
pvalue,0.2346626
