parameter_name,LDL-cholesterol
gene_accession_id,MGI:2181659
pvalue,0.249623
parameter_id,IMPC_CBC_025_001
mouse_life_stage,Early adult
analysis_id,3j23i8uh7q70hia
mouse_strain,C57BL
gene_symbol,Tox
