gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
pvalue,0.2501114
analysis_id,s0b2774k0i84w84
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
