parameter_name,Corneal opacity
mouse_strain,C57BL
analysis_id,x8x60ce2v5p8l7p
gene_symbol,Nanp
pvalue,0.1446645
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
parameter_id,IMPC_EYE_008_001
