gene_symbol,Dnaaf9
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
gene_accession_id,MGI:1923029
pvalue,0.5760099
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,748cj3u62jh0gvv
