parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
mouse_life_stage,Early adult
pvalue,0.8296945
gene_accession_id,MGI:1924315
analysis_id,cb58g0i21vzy62g
gene_symbol,Ints7
