parameter_name,Hematocrit
mouse_strain,C57BL
analysis_id,or9421eqi9c1a56
parameter_id,IMPC_HEM_004_001
pvalue,0.7065785
mouse_life_stage,Early adult
gene_symbol,Mov10
gene_accession_id,MGI:97054
