analysis_id,2m3f7p4l54da1j8
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Fgb
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
pvalue,0.2596325
