parameter_name,Retina (combined)
gene_accession_id,MGI:3046938
mouse_strain,C57BL
analysis_id,c644wdk5e089j74
parameter_id,JAXLA_EYE_092_001
gene_symbol,Hrnr
mouse_life_stage,Early adult
pvalue,0.6100167
