analysis_id,y815f541466c29d
mouse_strain,C57BL
pvalue,0.9301252
mouse_life_stage,Early adult
parameter_name,Light side time spent
gene_symbol,Rab13
parameter_id,JAX_LDT_002_001
gene_accession_id,MGI:1927232
