parameter_name,Monocyte percentage
gene_symbol,Psd4
gene_accession_id,MGI:2674093
analysis_id,9uv4ii393p18nx0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
pvalue,0.2414105
