analysis_id,d066pakm8y5j545
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,MGP_IMM_071_001
pvalue,0.3315586
