parameter_name,Center average speed
analysis_id,u7bmt24cc6ybp9p
mouse_strain,C56BL
gene_symbol,Zyg11b
pvalue,0.4525357
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_id,HRWLLA_OFD_017_001
