gene_symbol,Ahcy
pvalue,0.759339
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
mouse_strain,C57BL
analysis_id,9ab8y2v4p220dib
