parameter_id,JAXLA_CBC_015_001
pvalue,0.8884142
gene_accession_id,MGI:1918764
parameter_name,Total cholesterol
gene_symbol,Sfpq
mouse_strain,C57BL
analysis_id,j15j4517yu3evhp
mouse_life_stage,Early adult
