gene_symbol,Kcng1
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
analysis_id,fm7460o3f6d746h
mouse_strain,C57BL
pvalue,0.09835268
