gene_symbol,Tubb4b
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
pvalue,0.2840927
analysis_id,u438380nt5zzid7
gene_accession_id,MGI:1915472
parameter_id,MGP_PBI_002_001
