parameter_name,Heart weight
mouse_life_stage,E12.5
pvalue,0.7697612
parameter_id,IMPC_HWT_008_001
analysis_id,840740q6o0ck34s
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
