parameter_name,Eosinophil percentage
gene_accession_id,MGI:1914071
parameter_id,MGP_PBI_020_001
mouse_strain,C57BL
gene_symbol,Bcs1l
mouse_life_stage,E9.5
analysis_id,19wa3k0s50xc145
pvalue,0.7672558
