parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
parameter_name,Neutrophil differential count
pvalue,0.1976416
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
analysis_id,eut71801l21i90g
gene_symbol,Lpgat1
