gene_symbol,Pglyrp3
mouse_life_stage,Early adult
parameter_name,Triglycerides
analysis_id,i85st29xtp67aw5
pvalue,0.05286064
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
