analysis_id,50qgun1dioidb2n
gene_accession_id,MGI:3588214
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Rufy4
parameter_id,MGP_PBI_011_001
pvalue,0.6768226
mouse_life_stage,Early adult
