gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3rol53s1tn29a9v
gene_accession_id,MGI:2651854
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.7206187
