gene_symbol,Nucks1
analysis_id,39d4j80dxj151c7
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C52BL
pvalue,0.2738296
gene_accession_id,MGI:1934811
parameter_id,JAX_SLW_014_001
