parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
analysis_id,9rt97e08t668fq3
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:104805
pvalue,0.08179456
gene_symbol,Snrpb2
