analysis_id,15a2epdlr15oqn6
pvalue,0.4254803
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
gene_symbol,Hpca
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:1336200
