analysis_id,kbz3e286465aokx
mouse_life_stage,E18.5
gene_symbol,Ola1
pvalue,0.361243
gene_accession_id,MGI:1914309
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
