gene_symbol,Pglyrp3
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:2685266
pvalue,0.4055916
mouse_strain,C57BL
analysis_id,w97b3u02yg30rj0
mouse_life_stage,Early adult
