analysis_id,j0z38v6px89cqwm
mouse_life_stage,Early adult
gene_symbol,Rab17
parameter_name,Placenta Morphology
pvalue,0.7239786
mouse_strain,C57BL
gene_accession_id,MGI:104640
parameter_id,IMPC_GPO_002_001
