parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
mouse_life_stage,Early adult
gene_symbol,Fgb
mouse_strain,C57BL
analysis_id,5e57qmm329gc826
pvalue,0.09396998
gene_accession_id,MGI:99501
