analysis_id,404ccn29b0fj978
parameter_id,MGP_IMM_112_001
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
pvalue,0.5643998
parameter_name,Follicular B cells - % of CD45+
gene_symbol,Cdin1
mouse_strain,C57BL
