gene_symbol,Kdm5b
analysis_id,d204mgj6e9cdec6
parameter_name,Center resting time
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
parameter_id,JAX_OFD_015_001
pvalue,0.1796769
mouse_strain,C57BL
