analysis_id,gxma58y1n9z200i
gene_accession_id,MGI:2385156
pvalue,0.0938642
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
