analysis_id,7pe986f3dgnlil1
mouse_strain,C57BL
gene_accession_id,MGI:1914561
parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
parameter_name,12kHz-evoked ABR Threshold
pvalue,0.4871927
gene_symbol,Nanp
