analysis_id,5s40q7e0ltda51v
mouse_life_stage,Early adult
pvalue,0.2441706
parameter_name,Thyroxine
gene_symbol,Cds2
mouse_strain,129SV
gene_accession_id,MGI:1332236
parameter_id,IMPC_CBC_053_001
