parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_accession_id,MGI:88328
pvalue,0.6912792
gene_symbol,Tnfsf8
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
analysis_id,0u8g76d1gey3lrg
