parameter_name,Phosphorus
gene_symbol,Wars2
analysis_id,s617nw8dm5g318w
mouse_strain,C57BL
pvalue,0.4334135
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_010_001
