analysis_id,4tqqnm84se7523y
gene_accession_id,MGI:2446274
pvalue,0.455847
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
parameter_name,ST
gene_symbol,Frmpd1
mouse_strain,C57BL
