analysis_id,sx02xm7n6v2jv7s
mouse_strain,C57BL
gene_symbol,Rgs20
pvalue,0.6340778
gene_accession_id,MGI:1929866
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
parameter_name,Center distance travelled
