parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:105073
parameter_name,Tibia length
analysis_id,uh724y0x4t7v692
gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.750624
