parameter_name,Embryo turning
pvalue,0.4377519
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:894679
analysis_id,j5ma88mx1odirng
gene_symbol,Bach2
mouse_strain,C51BL
mouse_life_stage,Early adult
