gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9w11t65v2v4zfh5
pvalue,0.4926373
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
