analysis_id,0n270sxu5589kjz
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
pvalue,0.8028566
mouse_strain,129SV
