analysis_id,vnb8pww1q5flg4u
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_name,Snout size
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.06423579
parameter_id,MGP_CSD_067_001
