analysis_id,46ddj1l6m8r6g84
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.1794048
mouse_life_stage,Early adult
