gene_symbol,Ppm1j
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.9316677
analysis_id,tb8a9bolsqo289z
gene_accession_id,MGI:1919137
parameter_id,MGP_IMM_048_001
mouse_strain,C57BL
mouse_life_stage,Early adult
