gene_symbol,Traf6
mouse_strain,C57BL
pvalue,0.8539411
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
analysis_id,ta3zk4498l2wl7i
