analysis_id,mx1314238ssw9lb
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_name,NKT cells (panel A)
mouse_strain,C57BL
pvalue,0.8367783
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:2446274
