analysis_id,43ymr58yw3uc2g7
gene_accession_id,MGI:95457
pvalue,0.3318485
parameter_id,IMPC_XRY_027_001
gene_symbol,Mecom
mouse_life_stage,Early adult
parameter_name,Joints
mouse_strain,C3H
