gene_symbol,Hnf4a
parameter_name,Total cholesterol
pvalue,0.06970471
gene_accession_id,MGI:109128
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,4690cwxxy0mtd21
