parameter_name,Dark side time spent
pvalue,0.2072615
analysis_id,31wyu4p08504o33
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
