analysis_id,hd2q8awi8hlm70p
pvalue,0.3971517
parameter_id,MGP_BMI_006_001
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
