gene_symbol,F2
analysis_id,38n00w46g77o07v
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,0.4234049
parameter_name,lens
mouse_strain,C57BL
