analysis_id,9ev37w4nzow542e
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:88174
pvalue,0.282306
