parameter_name,Hematocrit
pvalue,0.5009555
gene_accession_id,MGI:1339969
analysis_id,j6bes4o18sdy7wo
mouse_strain,C57BL
gene_symbol,Gja10
parameter_id,IMPC_HEM_004_001
mouse_life_stage,Early adult
