gene_symbol,Car13
analysis_id,flvcrr38z1ws779
gene_accession_id,MGI:1931322
parameter_id,IMPC_GEL_057_001
pvalue,0.7334685
mouse_life_stage,Early adult
parameter_name,Heart looping
mouse_strain,C57BL
